"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,22.091846,0.030520,"ns/op",1
"com.lineate.school.SearchBenchmark.baseline:CPI","avgt",1,1,0.811265,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-load-misses","avgt",1,1,0.006901,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-loads","avgt",1,1,15.258909,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-store-misses","avgt",1,1,0.002242,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-stores","avgt",1,1,5.142555,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-icache-load-misses","avgt",1,1,0.006615,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:LLC-load-misses","avgt",1,1,0.000358,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:LLC-loads","avgt",1,1,0.002161,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:LLC-store-misses","avgt",1,1,0.000245,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:LLC-stores","avgt",1,1,0.000900,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:branch-misses","avgt",1,1,0.003181,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:branches","avgt",1,1,7.127837,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:cycles","avgt",1,1,46.887027,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:dTLB-load-misses","avgt",1,1,0.000018,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:dTLB-loads","avgt",1,1,15.138019,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:dTLB-store-misses","avgt",1,1,0.000026,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:dTLB-stores","avgt",1,1,5.095090,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:iTLB-load-misses","avgt",1,1,0.000148,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:iTLB-loads","avgt",1,1,0.000095,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:instructions","avgt",1,1,57.794963,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:stalled-cycles-frontend","avgt",1,1,29.581676,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,19.799132,0.108584,"ns/op",10
"com.lineate.school.SearchBenchmark.baseline:CPI","avgt",1,1,0.611563,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-load-misses","avgt",1,1,0.007511,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-loads","avgt",1,1,15.453289,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-store-misses","avgt",1,1,0.004052,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-stores","avgt",1,1,6.562252,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:L1-icache-load-misses","avgt",1,1,0.008401,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:LLC-load-misses","avgt",1,1,0.000733,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:LLC-loads","avgt",1,1,0.003478,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:LLC-store-misses","avgt",1,1,0.000916,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:LLC-stores","avgt",1,1,0.000991,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:branch-misses","avgt",1,1,0.002466,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:branches","avgt",1,1,10.124356,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:cycles","avgt",1,1,41.633837,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:dTLB-loads","avgt",1,1,15.504603,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:dTLB-store-misses","avgt",1,1,0.000060,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:dTLB-stores","avgt",1,1,6.585560,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:iTLB-load-misses","avgt",1,1,0.000094,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:iTLB-loads","avgt",1,1,0.000262,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:instructions","avgt",1,1,68.077711,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline:stalled-cycles-frontend","avgt",1,1,19.613097,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,19.775455,0.462356,"ns/op",100
"com.lineate.school.SearchBenchmark.baseline:CPI","avgt",1,1,0.591522,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-load-misses","avgt",1,1,0.001972,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-loads","avgt",1,1,17.055956,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-store-misses","avgt",1,1,0.000705,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-stores","avgt",1,1,7.908270,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:L1-icache-load-misses","avgt",1,1,0.005740,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:LLC-load-misses","avgt",1,1,0.000547,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:LLC-loads","avgt",1,1,0.001888,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:LLC-store-misses","avgt",1,1,0.000307,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:LLC-stores","avgt",1,1,0.001239,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:branch-misses","avgt",1,1,0.001813,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:branches","avgt",1,1,10.094193,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:cycles","avgt",1,1,41.735454,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:dTLB-loads","avgt",1,1,17.020545,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:dTLB-store-misses","avgt",1,1,0.000261,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:dTLB-stores","avgt",1,1,7.919054,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:iTLB-load-misses","avgt",1,1,0.000155,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:iTLB-loads","avgt",1,1,0.000165,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:instructions","avgt",1,1,70.555996,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline:stalled-cycles-frontend","avgt",1,1,19.329419,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,19.436699,0.032439,"ns/op",1000
"com.lineate.school.SearchBenchmark.baseline:CPI","avgt",1,1,0.605532,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-load-misses","avgt",1,1,0.005976,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-loads","avgt",1,1,15.126839,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-store-misses","avgt",1,1,0.003695,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-stores","avgt",1,1,6.079357,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:L1-icache-load-misses","avgt",1,1,0.010330,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:LLC-load-misses","avgt",1,1,0.000770,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:LLC-loads","avgt",1,1,0.003495,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:LLC-store-misses","avgt",1,1,0.001546,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:LLC-stores","avgt",1,1,0.000750,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:branch-misses","avgt",1,1,0.002703,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:branches","avgt",1,1,10.078743,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:cycles","avgt",1,1,40.832979,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:dTLB-loads","avgt",1,1,15.201029,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:dTLB-store-misses","avgt",1,1,0.000055,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:dTLB-stores","avgt",1,1,6.097353,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:iTLB-load-misses","avgt",1,1,0.000123,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:iTLB-loads","avgt",1,1,0.000164,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:instructions","avgt",1,1,67.433177,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline:stalled-cycles-frontend","avgt",1,1,18.802668,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,19.238248,0.012304,"ns/op",10000
"com.lineate.school.SearchBenchmark.baseline:CPI","avgt",1,1,0.598706,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-load-misses","avgt",1,1,0.004707,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-loads","avgt",1,1,15.224216,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-store-misses","avgt",1,1,0.001071,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-stores","avgt",1,1,6.105350,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:L1-icache-load-misses","avgt",1,1,0.003332,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:LLC-load-misses","avgt",1,1,0.000530,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:LLC-loads","avgt",1,1,0.001237,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:LLC-store-misses","avgt",1,1,0.000168,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:LLC-stores","avgt",1,1,0.000700,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:branch-misses","avgt",1,1,0.002768,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:branches","avgt",1,1,10.216708,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:cycles","avgt",1,1,40.883697,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:dTLB-loads","avgt",1,1,15.227416,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:dTLB-store-misses","avgt",1,1,0.000062,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:dTLB-stores","avgt",1,1,6.123555,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:iTLB-load-misses","avgt",1,1,0.000176,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:iTLB-loads","avgt",1,1,0.000155,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:instructions","avgt",1,1,68.286713,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline:stalled-cycles-frontend","avgt",1,1,18.523600,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,19.038701,0.029916,"ns/op",100000
"com.lineate.school.SearchBenchmark.baseline:CPI","avgt",1,1,0.592384,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-load-misses","avgt",1,1,0.007311,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-loads","avgt",1,1,15.169501,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-store-misses","avgt",1,1,0.003135,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-stores","avgt",1,1,6.053931,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:L1-icache-load-misses","avgt",1,1,0.008769,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:LLC-load-misses","avgt",1,1,0.000863,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:LLC-loads","avgt",1,1,0.002727,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:LLC-store-misses","avgt",1,1,0.000144,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:LLC-stores","avgt",1,1,0.000707,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:branch-misses","avgt",1,1,0.001710,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:branches","avgt",1,1,10.071468,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:cycles","avgt",1,1,39.921635,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:dTLB-loads","avgt",1,1,15.065383,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:dTLB-store-misses","avgt",1,1,0.000044,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:dTLB-stores","avgt",1,1,6.045913,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:iTLB-load-misses","avgt",1,1,0.000048,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:iTLB-loads","avgt",1,1,0.000103,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:instructions","avgt",1,1,67.391518,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.baseline:stalled-cycles-frontend","avgt",1,1,18.870630,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,20.177092,0.014358,"ns/op",1
"com.lineate.school.SearchBenchmark.hashSet:CPI","avgt",1,1,0.410313,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-load-misses","avgt",1,1,0.004525,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-loads","avgt",1,1,24.263469,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-store-misses","avgt",1,1,0.002213,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-stores","avgt",1,1,6.062261,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:L1-icache-load-misses","avgt",1,1,0.006917,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:LLC-load-misses","avgt",1,1,0.000474,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:LLC-loads","avgt",1,1,0.002482,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:LLC-store-misses","avgt",1,1,0.000082,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:LLC-stores","avgt",1,1,0.000881,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:branch-misses","avgt",1,1,0.001800,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:branches","avgt",1,1,17.178284,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:cycles","avgt",1,1,42.672148,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:dTLB-load-misses","avgt",1,1,0.000007,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:dTLB-loads","avgt",1,1,24.182725,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:dTLB-store-misses","avgt",1,1,0.000084,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:dTLB-stores","avgt",1,1,6.061425,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:iTLB-load-misses","avgt",1,1,0.000237,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:iTLB-loads","avgt",1,1,0.000218,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:instructions","avgt",1,1,103.999088,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet:stalled-cycles-frontend","avgt",1,1,16.378458,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,25.935279,7.390531,"ns/op",10
"com.lineate.school.SearchBenchmark.hashSet:CPI","avgt",1,1,0.459625,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-load-misses","avgt",1,1,0.013034,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-loads","avgt",1,1,29.029133,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-store-misses","avgt",1,1,0.002511,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-stores","avgt",1,1,10.645518,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:L1-icache-load-misses","avgt",1,1,0.005381,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:LLC-load-misses","avgt",1,1,0.002092,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:LLC-loads","avgt",1,1,0.004548,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:LLC-store-misses","avgt",1,1,0.000433,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:LLC-stores","avgt",1,1,0.001091,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:branch-misses","avgt",1,1,0.008558,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:branches","avgt",1,1,20.360253,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:cycles","avgt",1,1,55.274204,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:dTLB-load-misses","avgt",1,1,0.000007,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:dTLB-loads","avgt",1,1,29.006125,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:dTLB-store-misses","avgt",1,1,0.000083,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:dTLB-stores","avgt",1,1,10.667093,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:iTLB-load-misses","avgt",1,1,0.000412,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:iTLB-loads","avgt",1,1,0.000334,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:instructions","avgt",1,1,120.259359,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:stalled-cycles-frontend","avgt",1,1,22.557737,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,26.813558,6.530852,"ns/op",100
"com.lineate.school.SearchBenchmark.hashSet:CPI","avgt",1,1,0.476619,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-load-misses","avgt",1,1,0.009904,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-loads","avgt",1,1,31.331251,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-store-misses","avgt",1,1,0.002405,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-stores","avgt",1,1,10.794070,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-icache-load-misses","avgt",1,1,0.007569,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:LLC-load-misses","avgt",1,1,0.000521,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:LLC-loads","avgt",1,1,0.002021,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:LLC-store-misses","avgt",1,1,0.000356,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:LLC-stores","avgt",1,1,0.001264,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:branch-misses","avgt",1,1,0.005428,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:branches","avgt",1,1,20.256947,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:cycles","avgt",1,1,56.810105,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:dTLB-loads","avgt",1,1,31.308380,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:dTLB-store-misses","avgt",1,1,0.000157,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:dTLB-stores","avgt",1,1,10.806597,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:iTLB-load-misses","avgt",1,1,0.000320,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:iTLB-loads","avgt",1,1,0.000433,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:instructions","avgt",1,1,119.193887,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:stalled-cycles-frontend","avgt",1,1,24.792802,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,30.876029,0.440250,"ns/op",1000
"com.lineate.school.SearchBenchmark.hashSet:CPI","avgt",1,1,0.534941,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-load-misses","avgt",1,1,1.490078,NaN,"#/op",1000
